tone,gain_db,Pin_dBm,Pin_mW,Pdc_mW
4,53.6,-26.4,0.00229086765277,1.11647058824e-05
4,53.8,-26.2,0.00239883291902,1.38337647059e-05
4,54,-26,0.00251188643151,8.2420254902e-05
4,54.2,-25.8,0.0026302679919,7.99478431373e-05
4,54.4,-25.6,0.00275422870334,8.77125294118e-05
4,54.6,-25.4,0.00288403150313,0.000103125254902
4,54.8,-25.2,0.0030199517204,0.000129013117647
4,55,-25,0.00316227766017,0.000159153215686
4,55.2,-24.8,0.00331131121483,0.000137779
4,55.4,-24.6,0.00346736850453,0.000150279039216
4,55.6,-24.4,0.0036307805477,0.00017825527451
4,55.8,-24.2,0.00380189396321,0.000212483411765
4,56,-24,0.00398107170553,0.000237001705882
4,56.2,-23.8,0.0041686938347,0.000244635254902
4,56.4,-23.6,0.0043651583224,0.000271079176471
4,56.6,-23.4,0.00457088189615,0.000305569529412
4,56.8,-23.2,0.00478630092323,0.0003024
4,57,-23,0.00501187233627,0.000312458509804
4,57.2,-22.8,0.0052480746025,0.000315033784314
4,57.4,-22.6,0.00549540873858,0.000334385607843
4,57.6,-22.4,0.00575439937337,0.000370405901961
4,57.8,-22.2,0.00602559586074,0.00038123127451
4,58,-22,0.0063095734448,0.000418382352941
4,58.2,-21.8,0.00660693448008,0.000422661333333
4,58.4,-21.6,0.00691830970919,0.000491569058824
4,58.6,-21.4,0.00724435960075,0.000545109352941
4,58.8,-21.2,0.00758577575029,0.000635135803922
4,59,-21,0.00794328234724,0.000692916607843
4,59.2,-20.8,0.00831763771103,0.000699322980392
4,59.4,-20.6,0.00870963589956,0.000775926941176
4,59.6,-20.4,0.00912010839356,0.000901217862745
4,59.8,-20.2,0.00954992586021,0.000947687411765
4,60,-20,0.01,0.00135408162745
4,60.2,-19.8,0.0104712854805,0.0013829004902
4,60.4,-19.6,0.0109647819614,0.00154984423529
4,60.6,-19.4,0.011481536215,0.00161140421569
4,60.8,-19.2,0.0120226443462,0.00176577772549
4,61,-19,0.0125892541179,0.00188068721569
4,61.2,-18.8,0.0131825673856,0.00186588229412
4,61.4,-18.6,0.013803842646,0.00203452819608
4,61.6,-18.4,0.0144543977075,0.00213250821569
4,61.8,-18.2,0.0151356124844,0.00221232158824
4,62,-18,0.0158489319246,0.00244944698039
4,62.2,-17.8,0.0165958690744,0.00245217307843
4,62.4,-17.6,0.0173780082875,0.00260629776471
4,62.6,-17.4,0.0181970085861,0.00275947417647
4,62.8,-17.2,0.0190546071796,0.00295226790196
4,63,-17,0.0199526231497,0.00310648511765
4,63.2,-16.8,0.0208929613085,0.00314496796078
4,63.4,-16.6,0.0218776162395,0.00342848029412
4,63.6,-16.4,0.0229086765277,0.00434954033333
4,63.8,-16.2,0.0239883291902,0.00459673617647
4,64,-16,0.0251188643151,0.00510300792157
4,64.2,-15.8,0.026302679919,0.00504173301961
4,64.4,-15.6,0.0275422870334,0.00554246635294
4,64.6,-15.4,0.0288403150313,0.00596927576471
4,64.8,-15.2,0.030199517204,0.00656737645098
4,65,-15,0.0316227766017,0.0071032054902
4,65.2,-14.8,0.0331131121483,0.00707473003922
4,65.4,-14.6,0.0346736850453,0.00769705209804
4,65.6,-14.4,0.036307805477,0.0081821182549
4,65.8,-14.2,0.0380189396321,0.00885679407843
4,66,-14,0.0398107170553,0.0108832230392
4,66.2,-13.8,0.041686938347,0.0109008832549
4,66.4,-13.6,0.043651583224,0.0117403611569
4,66.6,-13.4,0.0457088189615,0.0122965319804
4,66.8,-13.2,0.0478630092323,0.0133360403137
4,67,-13,0.0501187233627,0.0140485756863
4,67.2,-12.8,0.052480746025,0.0138485314706
4,67.4,-12.6,0.0549540873858,0.0149694015294
4,67.6,-12.4,0.0575439937337,0.015668454902
4,67.8,-12.2,0.0602559586074,0.0174169050196
4,68,-12,0.063095734448,0.0182474126078
4,68.2,-11.8,0.0660693448008,0.0181267585686
4,68.4,-11.6,0.0691830970919,0.018931555549
4,68.6,-11.4,0.0724435960075,0.0199974691373
4,68.8,-11.2,0.0758577575029,0.0211541810588
4,69,-11,0.0794328234724,0.022303371549
4,69.2,-10.8,0.0831763771103,0.0222050144706
4,69.4,-10.6,0.0870963589956,0.0233286977255
4,69.6,-10.4,0.0912010839356,0.0262057720392
4,69.8,-10.2,0.0954992586021,0.027220828902
4,70,-10,0.1,0.0287650402745
4,70.2,-9.8,0.104712854805,0.028387021
4,70.4,-9.6,0.109647819614,0.0299323833137
4,70.6,-9.4,0.11481536215,0.030504226098
4,70.8,-9.2,0.120226443462,0.0364405103137
4,71,-9,0.125892541179,0.0366994316667
4,71.2,-8.8,0.131825673856,0.0355598396275
4,71.4,-8.6,0.13803842646,0.0376368848039
4,71.6,-8.4,0.144543977075,0.0391006377059
4,71.8,-8.2,0.151356124844,0.0407509839216
4,72,-8,0.158489319246,0.0440733131176
4,72.2,-7.8,0.165958690744,0.0443577395098
4,72.4,-7.6,0.173780082875,0.0462275606863
4,72.6,-7.4,0.181970085861,0.047673696549
4,72.8,-7.2,0.190546071796,0.0493547422745
4,73,-7,0.199526231497,0.0550026038627
4,73.2,-6.8,0.208929613085,0.0552161576275
4,73.4,-6.6,0.218776162395,0.0566630433922
4,73.6,-6.4,0.229086765277,0.0589148206471
4,73.8,-6.2,0.239883291902,0.0613436309216
4,74,-6,0.251188643151,0.0627992511961
4,74.2,-5.8,0.26302679919,0.0636090671373
4,74.4,-5.6,0.275422870334,0.0653241775294
4,74.6,-5.4,0.288403150313,0.0671457205098
4,74.8,-5.2,0.30199517204,0.0718807234118
4,75,-5,0.316227766017,0.0749700931176
4,75.2,-4.8,0.331131121483,0.0741922578235
4,75.4,-4.6,0.346736850453,0.076753203451
4,75.6,-4.4,0.36307805477,0.0803379939608
4,75.8,-4.2,0.380189396321,0.0837785438627
4,76,-4,0.398107170553,0.0849701042549
4,76.2,-3.8,0.41686938347,0.0864415585882
4,76.4,-3.6,0.43651583224,0.0928619010784
4,76.6,-3.4,0.457088189615,0.0954566135098
4,76.8,-3.2,0.478630092323,0.0994456883922
4,77,-3,0.501187233627,0.103146318431
4,77.2,-2.8,0.52480746025,0.101889975059
4,77.4,-2.6,0.549540873858,0.105700087412
4,77.6,-2.4,0.575439937337,0.109176270647
4,77.8,-2.2,0.602559586074,0.112735070667
4,78,-2,0.63095734448,0.117545187706
4,78.2,-1.8,0.660693448008,0.116692146353
4,78.4,-1.6,0.691830970919,0.120953701176
4,78.6,-1.4,0.724435960075,0.127141659
4,78.8,-1.2,0.758577575029,0.129410804314
4,79,-1,0.794328234724,0.136282828098
4,79.2,-0.8,0.831763771103,0.136469388098
4,79.4,-0.6,0.870963589956,0.138795964863
4,79.6,-0.4,0.912010839356,0.147327093078
4,79.8,-0.2,0.954992586021,0.15138181874
4,80,0,1,0.154955278902
4,80.2,0.2,1.04712854805,0.155465283196
4,80.4,0.4,1.09647819614,0.159203043451
4,80.6,0.6,1.1481536215,0.163173019863
4,80.8,0.8,1.20226443462,0.170839895647
4,81,1,1.25892541179,0.174896378961
4,81.2,1.2,1.31825673856,0.174858160294
4,81.4,1.4,1.3803842646,0.180338838863
4,81.6,1.6,1.44543977075,0.186743021667
4,81.8,1.8,1.51356124844,0.1893678615
4,82,2,1.58489319246,0.19294188951
4,82.2,2.2,1.65958690744,0.191898577725
4,82.4,2.4,1.73780082875,0.202205897451
4,82.6,2.6,1.81970085861,0.209654564216
4,82.8,2.8,1.90546071796,0.215388242255
4,83,3,1.99526231497,0.217055608392
4,83.2,3.2,2.08929613085,0.218292093765
4,83.4,3.4,2.18776162395,0.223800095216
4,83.6,3.6,2.29086765277,0.232529280157
4,83.8,3.8,2.39883291902,0.237552075863
4,84,4,2.51188643151,0.246517038765
4,84.2,4.2,2.6302679919,0.244979948627
4,84.4,4.4,2.75422870334,0.251983299824
4,84.6,4.6,2.88403150313,0.258467995608
4,84.8,4.8,3.0199517204,0.264624336706
4,85,5,3.16227766017,0.271969164824
8,50,-30,0.001,2.17143137255e-06
8,50.2,-29.8,0.00104712854805,2.27103921569e-06
8,50.4,-29.6,0.00109647819614,2.52205882353e-06
8,50.6,-29.4,0.0011481536215,2.92803921569e-06
8,50.8,-29.2,0.00120226443462,3.06903921569e-06
8,51,-29,0.00125892541179,3.76115686275e-06
8,51.2,-28.8,0.00131825673856,3.71596078431e-06
8,51.4,-28.6,0.0013803842646,4.593e-06
8,51.6,-28.4,0.00144543977075,5.6408627451e-06
8,51.8,-28.2,0.00151356124844,6.8292745098e-06
8,52,-28,0.00158489319246,8.33698039216e-06
8,52.2,-27.8,0.00165958690744,8.56454901961e-06
8,52.4,-27.6,0.00173780082875,9.72278431373e-06
8,52.6,-27.4,0.00181970085861,1.41495882353e-05
8,52.8,-27.2,0.00190546071796,1.56391372549e-05
8,53,-27,0.00199526231497,1.86754705882e-05
8,53.2,-26.8,0.00208929613085,2.05819607843e-05
8,53.4,-26.6,0.00218776162395,2.7470745098e-05
8,53.6,-26.4,0.00229086765277,3.38793529412e-05
8,53.8,-26.2,0.00239883291902,3.94670196078e-05
8,54,-26,0.00251188643151,0.000113497117647
8,54.2,-25.8,0.0026302679919,0.000113462784314
8,54.4,-25.6,0.00275422870334,0.00013878472549
8,54.6,-25.4,0.00288403150313,0.000153313647059
8,54.8,-25.2,0.0030199517204,0.000177329
8,55,-25,0.00316227766017,0.00019149527451
8,55.2,-24.8,0.00331131121483,0.000199865843137
8,55.4,-24.6,0.00346736850453,0.000235259803922
8,55.6,-24.4,0.0036307805477,0.000264005705882
8,55.8,-24.2,0.00380189396321,0.000296837
8,56,-24,0.00398107170553,0.000329683666667
8,56.2,-23.8,0.0041686938347,0.000314054764706
8,56.4,-23.6,0.0043651583224,0.000313891862745
8,56.6,-23.4,0.00457088189615,0.000325636960784
8,56.8,-23.2,0.00478630092323,0.000334297411765
8,57,-23,0.00501187233627,0.000338191352941
8,57.2,-22.8,0.0052480746025,0.000323573156863
8,57.4,-22.6,0.00549540873858,0.000352449294118
8,57.6,-22.4,0.00575439937337,0.000418806137255
8,57.8,-22.2,0.00602559586074,0.000467815764706
8,58,-22,0.0063095734448,0.000509382666667
8,58.2,-21.8,0.00660693448008,0.000519033058824
8,58.4,-21.6,0.00691830970919,0.000607996843137
8,58.6,-21.4,0.00724435960075,0.000699701254902
8,58.8,-21.2,0.00758577575029,0.000735028568627
8,59,-21,0.00794328234724,0.000859101254902
8,59.2,-20.8,0.00831763771103,0.000845816039216
8,59.4,-20.6,0.00870963589956,0.000958353254902
8,59.6,-20.4,0.00912010839356,0.00106634533333
8,59.8,-20.2,0.00954992586021,0.00116359262745
8,60,-20,0.01,0.00151121537255
8,60.2,-19.8,0.0104712854805,0.00152057031373
8,60.4,-19.6,0.0109647819614,0.00167043696078
